fname,label,orig_conf,masked_conf,drop,spurious
person1659_virus_2867,1,0.6275,0.5382,0.0893,False
person1660_virus_2869,1,0.5291,0.4346,0.0945,False
person1661_virus_2872,1,0.7877,0.7587,0.0289,True
person1661_virus_2873,1,0.7877,0.7587,0.0289,True
person1662_virus_2875,1,0.6684,0.6444,0.024,True
person1663_virus_2876,1,0.6511,0.5676,0.0835,False
person1664_virus_2877,1,0.6793,0.6663,0.0129,True
person1665_virus_2878,1,0.732,0.6042,0.1278,False
person1667_virus_2881,1,0.7778,0.7328,0.0449,False
person1668_virus_2882,1,0.7142,0.7478,-0.0336,True
person1669_virus_2884,1,0.6261,0.7698,-0.1437,True
person1669_virus_2885,1,0.72,0.5999,0.1202,False
person1670_virus_2886,1,0.6575,0.6513,0.0062,True
person1671_virus_2887,1,0.6237,0.6381,-0.0144,True
person1672_virus_2888,1,0.709,0.6417,0.0673,False
person1673_virus_2889,1,0.7705,0.6715,0.0991,False
person1674_virus_2890,1,0.7636,0.5654,0.1982,False
person1675_virus_2891,1,0.5955,0.6055,-0.0101,True
person1676_virus_2892,1,0.7164,0.6882,0.0282,True
person1678_virus_2895,1,0.6795,0.6733,0.0061,True
person1679_virus_2896,1,0.6055,0.5601,0.0454,False
person1680_virus_2897,1,0.7557,0.6858,0.0699,False
person1682_virus_2899,1,0.6944,0.7241,-0.0297,True
person1685_virus_2903,1,0.6321,0.6132,0.0189,True
person16_virus_47,1,0.7787,0.6124,0.1663,False
person171_bacteria_826,1,0.7131,0.6477,0.0654,False
person172_bacteria_827,1,0.8089,0.6839,0.125,False
person172_bacteria_828,1,0.7199,0.6262,0.0937,False
person173_bacteria_829,1,0.6908,0.6635,0.0273,True
person173_bacteria_830,1,0.7935,0.7553,0.0382,True
person173_bacteria_831,1,0.8005,0.7909,0.0096,True
person174_bacteria_832,1,0.7563,0.6687,0.0876,False
person175_bacteria_833,1,0.8071,0.7295,0.0776,False
person175_bacteria_834,1,0.7868,0.6977,0.0891,False
person175_bacteria_835,1,0.7486,0.6817,0.0669,False
person17_virus_48,1,0.7655,0.6322,0.1333,False
person18_virus_49,1,0.69,0.6476,0.0423,False
person19_virus_50,1,0.7644,0.7074,0.057,False
person1_virus_11,1,0.6159,0.4467,0.1692,False
person1_virus_12,1,0.6152,0.6024,0.0128,True
person1_virus_13,1,0.6718,0.5921,0.0797,False
person1_virus_6,1,0.6157,0.5193,0.0964,False
person1_virus_7,1,0.6141,0.621,-0.0069,True
person1_virus_8,1,0.7159,0.6224,0.0935,False
person1_virus_9,1,0.7029,0.5043,0.1986,False
person20_virus_51,1,0.808,0.6826,0.1254,False
person21_virus_52,1,0.7513,0.6442,0.1071,False
person21_virus_53,1,0.7616,0.6051,0.1565,False
person22_virus_54,1,0.69,0.5487,0.1413,False
person22_virus_55,1,0.6658,0.3988,0.267,False
person23_virus_56,1,0.6985,0.6561,0.0424,False
person24_virus_58,1,0.8286,0.7384,0.0902,False
person25_virus_59,1,0.6973,0.652,0.0452,False
person26_virus_60,1,0.6362,0.6237,0.0125,True
person28_virus_62,1,0.7961,0.7588,0.0373,True
person28_virus_63,1,0.6822,0.6426,0.0395,True
person29_virus_64,1,0.6345,0.5764,0.0581,False
person30_virus_69,1,0.7907,0.6217,0.169,False
person31_virus_70,1,0.6481,0.5257,0.1224,False
person32_virus_71,1,0.7659,0.7345,0.0314,True
person33_virus_72,1,0.6438,0.6903,-0.0464,True
person34_virus_76,1,0.7357,0.5536,0.1821,False
person35_virus_80,1,0.6833,0.6632,0.0201,True
person36_virus_81,1,0.6173,0.68,-0.0627,True
person37_virus_82,1,0.8231,0.5902,0.2329,False
person38_virus_83,1,0.6965,0.606,0.0905,False
person38_virus_84,1,0.6968,0.5963,0.1005,False
person39_virus_85,1,0.6794,0.5373,0.1421,False
person3_virus_15,1,0.8006,0.7212,0.0794,False
person3_virus_16,1,0.6796,0.5909,0.0887,False
person3_virus_17,1,0.7227,0.6324,0.0902,False
person40_virus_87,1,0.7858,0.5223,0.2635,False
person41_virus_88,1,0.7711,0.7211,0.0501,False
person42_virus_89,1,0.6674,0.5696,0.0978,False
person43_virus_92,1,0.774,0.7103,0.0637,False
person44_virus_93,1,0.758,0.6731,0.0849,False
person44_virus_94,1,0.6889,0.4747,0.2142,False
person45_virus_95,1,0.6204,0.5665,0.0538,False
person46_virus_96,1,0.7627,0.6441,0.1186,False
person47_virus_99,1,0.7556,0.7335,0.0222,True
person48_virus_100,1,0.8146,0.715,0.0996,False
person49_virus_101,1,0.7061,0.6171,0.0889,False
person50_virus_102,1,0.7192,0.7044,0.0148,True
person51_virus_105,1,0.6893,0.6435,0.0458,False
person52_virus_106,1,0.6588,0.5678,0.091,False
person53_virus_107,1,0.6918,0.6862,0.0057,True
person53_virus_108,1,0.6715,0.6247,0.0468,False
person54_virus_109,1,0.6927,0.667,0.0257,True
person55_virus_110,1,0.7387,0.6838,0.0549,False
person56_virus_112,1,0.5986,0.55,0.0485,False
person57_virus_113,1,0.6762,0.6452,0.031,True
person59_virus_116,1,0.6318,0.6602,-0.0284,True
person60_virus_117,1,0.6984,0.5861,0.1123,False
person61_virus_118,1,0.7683,0.545,0.2233,False
person62_virus_119,1,0.6826,0.6996,-0.017,True
person63_virus_121,1,0.7264,0.6158,0.1106,False
person64_virus_122,1,0.6677,0.5737,0.0939,False
person65_virus_123,1,0.6717,0.565,0.1067,False
person66_virus_125,1,0.7579,0.646,0.1118,False
person67_virus_126,1,0.7653,0.6523,0.113,False
person69_virus_129,1,0.5701,0.6001,-0.03,True
person70_virus_130,1,0.6181,0.564,0.0541,False
person71_virus_131,1,0.7379,0.7179,0.0199,True
person71_virus_132,1,0.6322,0.6019,0.0302,True
person72_virus_133,1,0.7184,0.5471,0.1713,False
person74_virus_135,1,0.6637,0.7201,-0.0564,True
person75_virus_136,1,0.6802,0.6424,0.0378,True
person76_virus_138,1,0.5985,0.6086,-0.0101,True
person77_virus_139,1,0.7072,0.7661,-0.059,True
person78_bacteria_378,1,0.7734,0.7235,0.0499,False
person78_bacteria_380,1,0.678,0.6879,-0.0099,True
person78_bacteria_381,1,0.6695,0.4769,0.1926,False
person78_bacteria_382,1,0.7389,0.6285,0.1104,False
person78_bacteria_384,1,0.7122,0.6759,0.0363,True
person78_bacteria_385,1,0.84,0.7128,0.1272,False
person78_bacteria_386,1,0.726,0.6281,0.0979,False
person78_bacteria_387,1,0.7165,0.7222,-0.0057,True
person78_virus_140,1,0.8058,0.7859,0.0199,True
person79_virus_148,1,0.7709,0.6965,0.0744,False
person80_bacteria_389,1,0.7038,0.6788,0.025,True
person80_bacteria_390,1,0.6861,0.677,0.0091,True
person80_bacteria_391,1,0.6612,0.5971,0.0641,False
person80_bacteria_392,1,0.7563,0.6716,0.0846,False
person80_bacteria_393,1,0.6324,0.6353,-0.0029,True
person81_bacteria_395,1,0.6813,0.7467,-0.0653,True
person81_bacteria_396,1,0.6602,0.6022,0.0581,False
person81_bacteria_397,1,0.6556,0.5585,0.0971,False
person81_bacteria_398,1,0.7323,0.6089,0.1234,False
person82_bacteria_402,1,0.7122,0.6326,0.0796,False
person82_bacteria_403,1,0.7325,0.748,-0.0154,True
person82_bacteria_404,1,0.7772,0.648,0.1292,False
person82_bacteria_405,1,0.8159,0.7539,0.062,False
person83_bacteria_407,1,0.8125,0.7273,0.0852,False
person83_bacteria_409,1,0.6903,0.7461,-0.0559,True
person83_bacteria_410,1,0.6309,0.583,0.0479,False
person83_bacteria_411,1,0.7655,0.6339,0.1317,False
person83_bacteria_412,1,0.6724,0.5925,0.0798,False
person83_bacteria_414,1,0.7283,0.4852,0.2431,False
person85_bacteria_417,1,0.6949,0.5717,0.1232,False
person85_bacteria_419,1,0.6538,0.5239,0.1299,False
person85_bacteria_421,1,0.6985,0.6079,0.0906,False
person85_bacteria_422,1,0.6206,0.7057,-0.0851,True
person85_bacteria_423,1,0.6401,0.6088,0.0312,True
person85_bacteria_424,1,0.7153,0.6965,0.0188,True
person86_bacteria_428,1,0.6339,0.6214,0.0125,True
person86_bacteria_429,1,0.7682,0.6659,0.1023,False
person87_bacteria_433,1,0.6296,0.6562,-0.0266,True
person87_bacteria_434,1,0.7566,0.6762,0.0804,False
person88_bacteria_437,1,0.6975,0.6768,0.0207,True
person88_bacteria_438,1,0.6431,0.6277,0.0153,True
person88_bacteria_439,1,0.6984,0.7608,-0.0624,True
person89_bacteria_440,1,0.7358,0.7132,0.0226,True
person8_virus_27,1,0.7274,0.6771,0.0504,False
person8_virus_28,1,0.6878,0.6899,-0.0021,True
person90_bacteria_442,1,0.7103,0.6692,0.0411,False
person90_bacteria_443,1,0.7225,0.6883,0.0343,True
person91_bacteria_445,1,0.6997,0.5797,0.12,False
person91_bacteria_446,1,0.6679,0.5616,0.1063,False
person91_bacteria_447,1,0.7716,0.6304,0.1412,False
person91_bacteria_448,1,0.6404,0.6557,-0.0152,True
person91_bacteria_449,1,0.7269,0.642,0.085,False
person92_bacteria_450,1,0.7923,0.6344,0.1579,False
person92_bacteria_451,1,0.6684,0.5935,0.0749,False
person93_bacteria_453,1,0.7727,0.6295,0.1432,False
person93_bacteria_454,1,0.6588,0.5711,0.0877,False
person94_bacteria_456,1,0.6823,0.6931,-0.0109,True
person94_bacteria_457,1,0.7078,0.6304,0.0774,False
person94_bacteria_458,1,0.6237,0.661,-0.0373,True
person95_bacteria_463,1,0.7196,0.506,0.2136,False
person96_bacteria_464,1,0.7445,0.6454,0.0991,False
person96_bacteria_465,1,0.6249,0.6403,-0.0155,True
person96_bacteria_466,1,0.6424,0.648,-0.0056,True
person97_bacteria_468,1,0.7808,0.6721,0.1087,False
person99_bacteria_473,1,0.7941,0.6716,0.1225,False
person99_bacteria_474,1,0.7942,0.6731,0.1211,False
